outlier,views,subs,channel,found_via,ai_hint,published,evergreen,title,url,about_ai,evergreen_llm,shape,adapt,why
31.17,296412,9510,Just Explained,ai-native,-,2026-07-24,maybe,Every Illegal Operating System Explained in 15 Minutes,https://www.youtube.com/watch?v=2D2Z-eqK0YM,adjacent,yes,list,"Same forbidden-catalog listicle shape, run over grey-market/jailbroken AI tools and models instead of illegal OSes.","Not about AI, but the catalog-of-forbidden-things structure is a reusable list shape; nothing in it expires."
21.73,256444,11800,Mr. Harris,ai-native,term,2026-07-21,no,15 Jobs AI Will Replace by 2030 Explained — The Real List,https://www.youtube.com/watch?v=IFW1f6iDd4E,ai,no,list,-,"Directly about AI's job impact, but the explicit 'by 2030' date makes it expire."
10.41,2570733,247000,Perimeter Institute for Theoretical Physics,ai-native,term,2026-07-16,maybe,How to torture a language learning model,https://www.youtube.com/watch?v=yN79mCiT5cU,ai,yes,explainer,-,"Directly about probing an LLM's behavior, a mechanism-level subject with no expiry."
10.01,99041,9890,"Leo Cui, Ph.D., CFA ",ai-native,term,2026-07-23,maybe,The Entire AI Data Center Explained — From Electricity to ChatGPT,https://www.youtube.com/watch?v=ckoi0RTEgcY,ai,yes,explainer,-,"Directly explains AI infrastructure end-to-end, a structural/explanatory subject that doesn't expire."
8.09,321322,39700,TRIGGERnometry Clips,ai-native,-,2026-07-26,maybe,Peter Hitchens Explains Why Britain Is Finished,https://www.youtube.com/watch?v=Sc2oX3qaY7I,adjacent,yes,verdict,"Same institutional-decline verdict shape, aimed at a claim like 'AI dependency is quietly finishing off [a skill/industry]'.","Not about AI, but it's a pure institutional-decline verdict with no dated event, so the shape transfers cleanly."
6.1,97544,16000,Decoded Genius Clips,ai-native,-,2026-07-17,maybe,“Women Punish Men They Are Attracted to” | Dr. Orion Taraban,https://www.youtube.com/watch?v=twVa1ID6n4A,no,yes,verdict,-,Dating/relationship psychology content with no thematic bridge to AI.
6.07,97193,16000,Decoded Genius Clips,ai-native,-,2026-07-20,maybe,"Relationship Expert: If Women Say This, It’s Over…",https://www.youtube.com/watch?v=HMcbR9_dUxU,no,yes,list,-,"Dating-advice content (signs a relationship is over), no transferable AI angle."
5.89,131271,22300,The Wall Street Skinny,ai-native,term,2026-07-23,maybe,The TRUTH About AI Data Centers ($$ Edition),https://www.youtube.com/watch?v=T5LYwGOeDbk,ai,yes,explainer,-,"Directly about the economics of AI data centers, structural and not tied to a dated event."
5.59,89385,16000,Decoded Genius Clips,ai-native,-,2026-07-15,maybe,Get 98.5% of Women With Just These 3 Steps | Dr. Orion Taraban,https://www.youtube.com/watch?v=nAm2yTQjXPQ,no,yes,framework,-,"Dating-advice 3-step framework, no thematic bridge to AI."
5.29,84573,16000,Decoded Genius Clips,ai-native,-,2026-07-22,maybe,"They Want You Fat, Happy, And Dead: Welcome to the Food Industry | Dr. Robert Lustig",https://www.youtube.com/watch?v=IYOjRb0TBts,adjacent,yes,verdict,"Same industry-exploitation grievance shape, retargeted at how AI platforms are optimized to keep users engaged/dependent rather than serve them.","Not about AI, but it's a systemic industry-incentive grievance with no expiry, directly reusable for a platform-incentives AI story."
3.2,352244,110000,Asian Dad Energy,adjacent,term,2026-07-23,maybe,AI Is About to Crash. Here’s Why.,https://www.youtube.com/watch?v=xKuDvRRE7Bc,ai,no,verdict,-,"Directly about AI, but it's a market-timing crash call, which expires."
3.02,35577,11800,Mr. Harris,ai-native,-,2026-07-19,maybe,A Student vs C Student — Where Are They 20 Years Later?,https://www.youtube.com/watch?v=UjqbKq0Z5Uo,adjacent,yes,comparison,"Same longitudinal-outcome comparison shape, run as 'AI early-adopters vs AI-skeptics, 10 years later'.","Not about AI, but the two-cohort longitudinal comparison structure directly carries an AI-adoption outcomes story."
