outlier,views,subs,channel,found_via,ai_hint,published,evergreen,title,url,about_ai,evergreen_llm,shape,adapt,why
30.64,287994,9400,Just Explained,ai-native,-,2026-07-24,maybe,Every Illegal Operating System Explained in 15 Minutes,https://www.youtube.com/watch?v=2D2Z-eqK0YM,adjacent,yes,list,Swap 'illegal operating systems' for a countdown of banned/underground AI tools and jailbreaks — same forbidden-knowledge listicle structure.,"Not about AI, but the illicit-catalog listicle register transfers directly; nothing here expires."
21.76,254619,11700,Mr. Harris,ai-native,term,2026-07-21,no,15 Jobs AI Will Replace by 2030 Explained — The Real List,https://www.youtube.com/watch?v=IFW1f6iDd4E,ai,no,list,"Reusable job-displacement list format, but drop the '2030' pin so a model update doesn't date the video.","Directly about AI job replacement, but the explicit 'by 2030' deadline expires the claim."
10.34,2555185,247000,Perimeter Institute for Theoretical Physics,ai-native,term,2026-07-16,maybe,How to torture a language learning model,https://www.youtube.com/watch?v=yN79mCiT5cU,ai,yes,explainer,-,"Adversarial LLM-probing is squarely AI and describes a durable, ongoing practice."
9.79,94398,9640,"Leo Cui, Ph.D., CFA ",ai-native,term,2026-07-23,maybe,The Entire AI Data Center Explained — From Electricity to ChatGPT,https://www.youtube.com/watch?v=ckoi0RTEgcY,ai,yes,explainer,-,Structural explainer of AI infrastructure; naming ChatGPT doesn't date it.
7.88,312122,39600,TRIGGERnometry Clips,ai-native,-,2026-07-26,maybe,Peter Hitchens Explains Why Britain Is Finished,https://www.youtube.com/watch?v=Sc2oX3qaY7I,adjacent,yes,verdict,Same institutional-decline verdict register applied to 'why AI makes the old economic order finished.',"Not AI, but the civilizational-decline indictment structure is a ready-made shell for an AI-doom verdict."
6.16,96636,15700,Decoded Genius Clips,ai-native,-,2026-07-17,maybe,“Women Punish Men They Are Attracted to” | Dr. Orion Taraban,https://www.youtube.com/watch?v=twVa1ID6n4A,no,yes,explainer,-,Pure relationship-psychology content with no transferable structure; the dynamic itself is timeless.
6.12,96157,15700,Decoded Genius Clips,ai-native,-,2026-07-20,maybe,"Relationship Expert: If Women Say This, It’s Over…",https://www.youtube.com/watch?v=HMcbR9_dUxU,no,yes,list,-,"Dating-advice tell-list; reserved 'no' category, and the phrasing has no expiry."
5.74,125042,21800,The Wall Street Skinny,ai-native,term,2026-07-23,maybe,The TRUTH About AI Data Centers ($$ Edition),https://www.youtube.com/watch?v=T5LYwGOeDbk,ai,yes,verdict,-,Financial exposé of AI data centers; explains structural economics rather than making a dated price call.
5.66,88808,15700,Decoded Genius Clips,ai-native,-,2026-07-15,maybe,Get 98.5% of Women With Just These 3 Steps | Dr. Orion Taraban,https://www.youtube.com/watch?v=nAm2yTQjXPQ,no,yes,framework,-,"Dating-advice numbered-steps content; reserved 'no' category despite the checklist shape, and the advice doesn't expire."
5.06,79404,15700,Decoded Genius Clips,ai-native,-,2026-07-22,maybe,"They Want You Fat, Happy, And Dead: Welcome to the Food Industry | Dr. Robert Lustig",https://www.youtube.com/watch?v=IYOjRb0TBts,adjacent,yes,verdict,"Recast the food-industry indictment as 'how AI platforms want you dependent, distracted, and engaged' — same institutional-conspiracy verdict.","Not AI, but the how-an-industry-exploits-you register is exactly the systems-vs-ordinary-people structure that carries an AI story; the indictment doesn't expire."
